Gene Name	TPM
A1CF	12.227505
AAR2	23.944454
AARS1	44.576252000000004
AARS2	6.532529
AARSD1	33.516197
ABCE1	67.827362
ABT1	19.724332999999998
ACIN1	35.321384
ACO1	10.624724
ADAD1	0.0
ADAD2	0.0
ADAR	57.266563
ADARB1	1.9685580000000003
ADARB2	0.002919
ADAT1	10.244356
ADAT2	4.476563
ADAT3	1.9593009999999997
AEN	20.821867
AFF1	24.89152
AFF3	0.009779000000000001
AFF4	23.237013
AGFG1	13.366701999999998
AGO1	7.806427
AGO2	22.821184
AGO3	5.683061
AGO4	10.181398
AIMP1	30.092602000000003
AIMP2	30.129103000000004
AK6	54.88504399999999
AKAP1	70.86466999999999
AKAP17A	18.805054000000002
AKAP8	15.362753
AKAP8L	15.971164000000002
ALKBH1	7.945200999999999
ALKBH5	43.499874
ALKBH8	6.867945
ALYREF	132.181061
ANG	3.102599
ANGEL1	6.7445759999999995
ANGEL2	23.414414999999998
ANKHD1	74.330986
ANKRD17	25.251642
APEX1	16.068949
API5	43.448192999999996
APOBEC1	34.590839
APOBEC2	7.588838000000001
APOBEC3F	2.306337
APOBEC3G	0.18133
APOBEC3H	0.0
APOBEC4	0.08096
APTX	24.465760999999997
AQR	27.473814
ARHGEF28	25.308311
ARL6IP4	55.740536
ASCC1	17.239310999999997
ASH1L	26.844036
ATXN1	13.548831
ATXN1L	7.257774
ATXN2	10.351247
ATXN2L	11.817255000000001
AUH	12.289974
AZGP1	83.120316
BARD1	7.749198
BAZ2A	8.999907
BAZ2B	19.828238
BCDIN3D	4.503461
BCLAF1	122.765854
BCLAF3	5.020047
BICC1	0.222861
BMS1	19.598831
BOLL	0.042502
BRCA1	26.653049
BRIX1	49.985588
BUD13	15.960056
BYSL	76.404327
BZW1	97.617989
BZW2	51.177665999999995
C11orf68	10.317945
C12orf65	8.321571
C1D	13.267601
C1QBP	233.00454700000003
C9orf129	3.867736
CACTIN	7.3960740000000005
CALR	685.115662
CALR3	0.308185
CANX	348.97042799999997
CAPRIN1	225.27575699999997
CAPRIN2	3.8043339999999994
CARHSP1	33.456619
CARS1	35.644089
CARS2	50.987701
CASC3	28.007044
CAVIN1	1.201375
CCAR1	55.716072
CCAR2	25.330172
CCDC59	41.829479
CCDC86	7.928315
CCNT1	22.801071
CCNT2	19.707145999999998
CD2BP2	24.31702
CDC40	11.446954
CDC5L	19.677574
CDK5RAP1	29.471265999999996
CDK9	13.790866000000001
CEBPZ	43.657661
CELF1	27.564363
CELF2	0.00525
CELF3	0.11751600000000001
CELF4	0.072404
CELF5	0.0
CELF6	1.17541
CHERP	5.717247
CHTOP	39.820374
CIRBP	17.817654
CLASRP	13.435274
CLK1	58.76481999999999
