Gene Name	max
A1CF	154.920486
AAR2	48.082489
AARS1	220.779129
AARS2	42.572571
AARSD1	108.035103
ABCE1	223.432083
ABT1	44.869431
ACIN1	187.032028
ACO1	188.488525
ADAD1	263.402527
ADAD2	227.579727
ADAR	359.712067
ADARB1	87.18693499999998
ADARB2	23.693659
ADAT1	40.349102
ADAT2	23.966825
ADAT3	44.049484
AEN	116.998604
AFF1	395.360901
AFF3	430.602509
AFF4	135.884186
AGFG1	129.540573
AGO1	43.450859
AGO2	136.34381100000002
AGO3	38.027294
AGO4	72.610855
AIMP1	60.709713
AIMP2	172.611664
AK6	63.399002
AKAP1	179.137375
AKAP17A	335.99352999999996
AKAP8	73.109016
AKAP8L	153.06073
ALKBH1	26.059519
ALKBH5	309.114105
ALKBH8	57.32502
ALYREF	278.502808
ANG	1160.627441
ANGEL1	106.664665
ANGEL2	120.461617
ANKHD1	197.41037
ANKRD17	97.77961
APEX1	148.06471299999995
API5	146.221329
APOBEC1	47.027676
APOBEC2	563.131409
APOBEC3F	27.096466
APOBEC3G	155.90330500000005
APOBEC3H	28.575699
APOBEC4	25.381037
APTX	68.329094
AQR	61.290096
ARHGEF28	137.85278300000002
ARL6IP4	292.194427
ASCC1	114.645142
ASH1L	75.58120699999998
ATXN1	117.339333
ATXN1L	33.040015999999994
ATXN2	89.065475
ATXN2L	303.860199
AUH	81.795692
AZGP1	1874.610718
BARD1	60.26456500000001
BAZ2A	157.095688
BAZ2B	259.809235
BCDIN3D	8.626375
BCLAF1	283.189209
BCLAF3	28.56908
BICC1	258.610352
BMS1	58.116425
BOLL	101.074562
BRCA1	70.89451600000002
BRIX1	163.822601
BUD13	135.134796
BYSL	76.404327
BZW1	388.222473
BZW2	607.049561
C11orf68	106.916733
C12orf65	139.272827
C1D	33.326176000000004
C1QBP	771.115234
C9orf129	22.086054
CACTIN	41.396381
CALR	3495.261963000001
CALR3	155.532562
CANX	757.8380129999998
CAPRIN1	493.903442
CAPRIN2	50.015903
CARHSP1	508.424469
CARS1	102.365685
CARS2	115.597176
CASC3	117.842125
CAVIN1	944.300354
CCAR1	129.776779
CCAR2	120.81018799999998
CCDC59	206.787628
CCDC86	175.366104
CCNT1	63.514286
CCNT2	81.538422
CD2BP2	97.291962
CDC40	52.175179
CDC5L	121.788429
CDK5RAP1	68.844154
CDK9	116.824989
CEBPZ	257.296967
CELF1	167.983078
CELF2	280.43994100000003
CELF3	148.698959
CELF4	112.717987
CELF5	207.755997
CELF6	37.783573
CHERP	67.087906
CHTOP	132.470459
CIRBP	335.861115
CLASRP	180.380493
CLK1	558.366516
CLK2	83.596825
CLK3	146.391998
CLK4	47.231068
CLP1	30.633329
CMSS1	36.180336
CMTR1	174.676376
CMTR2	68.847275
CNBP	488.614319
CNOT1	266.819275
CNOT10	119.184448
CNOT11	240.648254
CNOT2	682.988892
CNOT3	59.031948
CNOT4	45.144257
CNOT6	103.570679
CNOT6L	172.218094
CNOT7	123.478996
CNOT8	192.782516
CNOT9	131.945908
CNP	718.368958
CPEB1	51.543591
CPEB2	56.94138
CPEB3	32.922806
CPEB4	176.49848899999995
CPSF1	244.71199
CPSF2	88.38028
CPSF3	169.39325
CPSF4	72.055115
CPSF4L	3.3744339999999995
CPSF6	593.677124
CPSF7	90.550751
CRNKL1	53.350182
CRYZ	116.82399
CSDC2	165.677307
CSDE1	1315.848022
CSTF1	102.075325
CSTF2	48.205799
CSTF2T	41.279701
CSTF3	96.036896
CTC-360G5.8	2.501366
CTIF	142.745407
CTU1	17.536179
CTU2	43.090733
CWC22	51.965847
CWC25	228.262054
CWC27	69.11839300000001
CWF19L1	48.818592
CWF19L2	77.031075
DALRD3	215.130997
DAP3	371.854126
DARS1	187.835754
DARS2	89.176086
DAZ1	22.183107
DAZ2	13.56011
DAZ3	12.324789
DAZ4	17.157543
DAZAP1	231.706619
DAZL	119.846519
DBR1	61.631908
DCAF13	111.418358
DCP1A	43.738873
DCP1B	67.064262
DCP2	228.996552
DCPS	79.684776
DDX1	2039.113281
DDX10	275.53299
DDX11	103.250938
DDX17	619.973938
DDX18	133.35081499999998
DDX19A	113.269447
DDX20	165.778198
DDX21	426.789948
DDX23	148.823318
DDX24	246.935318
DDX25	124.12686200000002
DDX27	137.273193
DDX28	26.751604
DDX31	33.196445000000004
DDX39A	347.770721
DDX3X	240.429962
DDX3Y	389.781921
DDX4	422.04739400000005
DDX41	88.676071
DDX42	102.539421
DDX43	39.478638
DDX46	106.762611
DDX47	150.717331
DDX49	77.490532
DDX5	387.148346
DDX50	112.253418
DDX51	29.173737
DDX52	61.35775
DDX53	14.972055
DDX54	64.017708
DDX55	76.38961
DDX56	92.202629
DDX58	197.974579
DDX59	55.105072
DDX60	130.42421000000002
DDX60L	247.288345
DEK	688.709961
DENR	560.88916
DGCR8	54.815948
